State,Year,TotalVehicles,CleanVehicles,NotCleanVehicles,PercentageClean,PercentageNotClean
North Dakota,2021,776800,118000,658800,15.190525231719876,84.80947476828013
North Dakota,2022,785500,119600,665900,15.22597071928708,84.77402928071292
Ohio,2016,10088800,1029900,9058900,10.208349853302673,89.79165014669734
Ohio,2017,10176000,1137500,9038500,11.178262578616351,88.82173742138365
Ohio,2018,10254200,1211500,9042700,11.814671061613778,88.18532893838622
Ohio,2019,10336000,1276500,9059500,12.350038699690401,87.6499613003096
Ohio,2020,10336400,1315700,9020700,12.728803064896868,87.27119693510313
Ohio,2021,10396200,1109000,9287200,10.667359227410016,89.33264077258998
Ohio,2022,10278300,1150300,9128000,11.19153945691408,88.80846054308591
Oklahoma,2016,4168300,646200,3522100,15.502722932610416,84.49727706738959
Oklahoma,2017,4151800,671200,3480600,16.166482007803847,83.83351799219616
Oklahoma,2018,4126000,679000,3447000,16.45661657779932,83.54338342220068
Oklahoma,2019,4147800,670700,3477100,16.170017840783064,83.82998215921693
Oklahoma,2020,4001700,624200,3377500,15.598370692455706,84.40162930754428
Oklahoma,2021,4124100,497200,3626900,12.055963725418879,87.94403627458112
Oklahoma,2022,4249900,518100,3731800,12.190875079413633,87.80912492058637
Oregon,2016,3678500,279400,3399100,7.59548729101536,92.40451270898464
Oregon,2017,3765500,314300,3451200,8.3468330898951,91.6531669101049
Oregon,2018,3843700,342600,3501100,8.913286676899862,91.08671332310013
Oregon,2019,3815100,365700,3449400,9.585594086655657,90.41440591334434
Oregon,2020,3692600,373600,3319000,10.11753236202134,89.88246763797866
Oregon,2021,3784800,408400,3376400,10.790530543225534,89.20946945677447
Oregon,2022,3779800,445100,3334700,11.775755330969892,88.2242446690301
Pennsylvania,2016,9984200,903500,9080700,9.049297890667255,90.95070210933275
Pennsylvania,2017,10017000,981600,9035400,9.799341120095837,90.20065887990415
Pennsylvania,2018,10003000,1037500,8965500,10.371888433469959,89.62811156653004
Pennsylvania,2019,10075600,1091800,8983800,10.836079240938504,89.1639207590615
Pennsylvania,2020,10225900,1133900,9092000,11.088510546748942,88.91148945325106
Pennsylvania,2021,10277200,995700,9281500,9.688436539135173,90.31156346086483
Pennsylvania,2022,10165300,1039600,9125700,10.226948540623495,89.7730514593765
Rhode Island,2016,857600,56900,800700,6.634794776119403,93.3652052238806
Rhode Island,2017,861200,63200,798000,7.338597306084534,92.66140269391546
Rhode Island,2018,883400,70400,813000,7.969209870953136,92.03079012904686
Rhode Island,2019,886600,73700,812900,8.312655086848634,91.68734491315136
Rhode Island,2020,883100,76900,806200,8.707960593364286,91.29203940663572
Rhode Island,2021,881600,67900,813700,7.701905626134302,92.29809437386571
Rhode Island,2022,872000,72200,799800,8.279816513761467,91.72018348623853
South Carolina,2016,4416800,431300,3985500,9.764988226770512,90.23501177322949
South Carolina,2017,4527900,485900,4042000,10.731244064577398,89.2687559354226
South Carolina,2018,4604500,524300,4080200,11.386686936692367,88.61331306330763
South Carolina,2019,4692100,558900,4133200,11.911510837364933,88.08848916263507
South Carolina,2020,4772400,584900,4187500,12.255888022797754,87.74411197720224
South Carolina,2021,4865400,513900,4351500,10.562338142804292,89.4376618571957
South Carolina,2022,4944700,536900,4407800,10.858090480716728,89.14190951928327
South Dakota,2016,872000,124400,747600,14.266055045871559,85.73394495412843
South Dakota,2017,901400,137200,764200,15.220767694697138,84.77923230530287
South Dakota,2018,919800,147100,772700,15.992607088497499,84.00739291150249
South Dakota,2019,915200,148800,766400,16.258741258741257,83.74125874125873
South Dakota,2020,925000,151600,773400,16.38918918918919,83.6108108108108
South Dakota,2021,925100,132100,793000,14.279537347313804,85.7204626526862
South Dakota,2022,945100,138200,806900,14.622791239022327,85.37720876097768
Tennessee,2016,5486700,516400,4970300,9.41185047478448,90.58814952521553
Tennessee,2017,5612600,578600,5034000,10.308947724762142,89.69105227523787
Tennessee,2018,5931800,652700,5279100,11.003405374422604,88.9965946255774
Tennessee,2019,6089500,702900,5386600,11.542819607521142,88.45718039247886
Tennessee,2020,6186800,735900,5450900,11.894678993987199,88.1053210060128
Tennessee,2021,6234200,648300,5585900,10.399088896730936,89.60091110326907
Tennessee,2022,6422600,690200,5732400,10.746426680783483,89.25357331921651
Texas,2016,22306700,2887000,19419700,12.94229984713113,87.05770015286886
Texas,2017,22544400,3114400,19430000,13.814517130639981,86.18548286936002
Texas,2018,22972500,3324100,19648400,14.469909674610948,85.53009032538905
Texas,2019,24091300,3549200,20542100,14.732289249646138,85.26771075035387
Texas,2020,24508900,3628600,20880300,14.805234017030546,85.19476598296946
Texas,2021,24713900,3218600,21495300,13.023440250223558,86.97655974977644
Texas,2022,25346000,3376000,21970000,13.319655961492938,86.68034403850706
Utah,2016,2482200,220600,2261600,8.887277415196197,91.1127225848038
Utah,2017,2578700,245500,2333200,9.520300926823595,90.4796990731764
Utah,2018,2705100,273700,2431400,10.11792540017005,89.88207459982995
Utah,2019,2807700,297000,2510700,10.57805321081312,89.42194678918688
Utah,2020,2879700,306600,2573100,10.646942389832274,89.35305761016772
Utah,2021,2937700,327600,2610100,11.15158116894169,88.84841883105831
Utah,2022,2997500,361800,2635700,12.070058381984987,87.92994161801502
Vermont,2016,613400,63200,550200,10.303227910009781,89.69677208999022
Vermont,2017,616100,69800,546300,11.329329654276902,88.6706703457231
Vermont,2018,614200,73800,540400,12.015630087919245,87.98436991208075
Vermont,2019,612500,76700,535800,12.522448979591838,87.47755102040816
Vermont,2020,605200,77700,527500,12.838730998017184,87.16126900198282
Vermont,2021,602400,70100,532300,11.636786188579016,88.36321381142098
Vermont,2022,595000,73700,521300,12.38655462184874,87.61344537815125
Virginia,2016,7403200,615200,6788000,8.309920034579642,91.69007996542035
Virginia,2017,7639400,698600,6940800,9.144697227530958,90.85530277246903
Virginia,2018,7694500,743500,6951000,9.662746117356553,90.33725388264344
Virginia,2019,7773500,792600,6980900,10.196179327201389,89.80382067279861
Virginia,2020,7697200,820200,6877000,10.655822896637739,89.34417710336227
Virginia,2021,7613600,765600,6848000,10.055689818220028,89.94431018177997
Virginia,2022,7642100,813200,6828900,10.64105416050562,89.35894583949437
Washington,2016,6228400,493200,5735200,7.918566566052276,92.08143343394772
Washington,2017,6545500,581000,5964500,8.876327247727446,91.12367275227255
Washington,2018,6644500,630500,6014000,9.48905109489051,90.51094890510949
Washington,2019,6699400,678300,6021100,10.124787294384571,89.87521270561543
Washington,2020,6832100,722900,6109200,10.580934119816748,89.41906588018325
Washington,2021,6890500,750500,6140000,10.891807561134897,89.1081924388651
Washington,2022,6802500,821700,5980800,12.079382579933847,87.92061742006615
West Virginia,2016,1524400,164300,1360100,10.778011020729467,89.22198897927053
West Virginia,2017,1529200,178900,1350300,11.698927543813758,88.30107245618623
West Virginia,2018,1515200,187200,1328000,12.35480464625132,87.64519535374869
West Virginia,2019,1498300,192300,1306000,12.834545818594407,87.1654541814056
West Virginia,2020,1482700,194200,1288500,13.097727119444258,86.90227288055574
West Virginia,2021,1485700,160400,1325300,10.796257656323618,89.20374234367638
West Virginia,2022,1488900,164800,1324100,11.068574115118544,88.93142588488145
Wisconsin,2016,5368300,660500,4707800,12.303708809120206,87.69629119087979
Wisconsin,2017,5474500,735300,4739200,13.431363594848843,86.56863640515115
Wisconsin,2018,5512200,786800,4725400,14.273792678059577,85.72620732194042
Wisconsin,2019,5563900,830000,4733900,14.917593774151225,85.08240622584877
Wisconsin,2020,5570800,859100,4711700,15.421483449414804,84.57851655058519
Wisconsin,2021,5519900,707600,4812300,12.819072809290025,87.18092719070998
Wisconsin,2022,5476200,727400,4748800,13.282933420985355,86.71706657901464
Wyoming,2016,615100,72900,542200,11.851731425784426,88.14826857421558
Wyoming,2017,618900,77400,541500,12.506059137178866,87.49394086282113
Wyoming,2018,623600,80200,543400,12.860808210391275,87.13919178960873
Wyoming,2019,630800,83500,547300,13.23715916296766,86.76284083703234
Wyoming,2020,638300,86000,552300,13.473288422371926,86.52671157762808
Wyoming,2021,643300,83200,560100,12.933312606870823,87.06668739312919
Wyoming,2022,644400,86000,558400,13.345747982619491,86.6542520173805
