State,Year,Type,Count,Clean
Nevada,2016,Hybrid Electric (HEV),30700,1
Nevada,2016,Biodiesel,0,1
Nevada,2016,Ethanol/Flex (E85),138800,1
Nevada,2016,Compressed Natural Gas (CNG),7100,1
Nevada,2016,Propane,0,1
Nevada,2016,Hydrogen,0,1
Nevada,2016,Methanol,0,1
Nevada,2016,Gasoline,1923600,0
Nevada,2016,Diesel,83000,0
Nevada,2016,Unknown Fuel,36000,0
New Hampshire,2016,Electric (EV),400,1
New Hampshire,2016,Plug-In Hybrid Electric (PHEV),1000,1
New Hampshire,2016,Hybrid Electric (HEV),19200,1
New Hampshire,2016,Biodiesel,0,1
New Hampshire,2016,Ethanol/Flex (E85),100900,1
New Hampshire,2016,Compressed Natural Gas (CNG),1800,1
New Hampshire,2016,Propane,0,1
New Hampshire,2016,Hydrogen,0,1
New Hampshire,2016,Methanol,0,1
New Hampshire,2016,Gasoline,1132600,0
New Hampshire,2016,Diesel,34300,0
New Hampshire,2016,Unknown Fuel,16900,0
New Jersey,2016,Electric (EV),4200,1
New Jersey,2016,Plug-In Hybrid Electric (PHEV),5500,1
New Jersey,2016,Hybrid Electric (HEV),80900,1
New Jersey,2016,Biodiesel,0,1
New Jersey,2016,Ethanol/Flex (E85),470400,1
New Jersey,2016,Compressed Natural Gas (CNG),4400,1
New Jersey,2016,Propane,0,1
New Jersey,2016,Hydrogen,0,1
New Jersey,2016,Methanol,0,1
New Jersey,2016,Gasoline,6001300,0
New Jersey,2016,Diesel,111500,0
New Jersey,2016,Unknown Fuel,51600,0
New Mexico,2016,Electric (EV),500,1
New Mexico,2016,Plug-In Hybrid Electric (PHEV),600,1
New Mexico,2016,Hybrid Electric (HEV),20800,1
New Mexico,2016,Biodiesel,0,1
New Mexico,2016,Ethanol/Flex (E85),142300,1
New Mexico,2016,Compressed Natural Gas (CNG),7800,1
New Mexico,2016,Propane,0,1
New Mexico,2016,Hydrogen,0,1
New Mexico,2016,Methanol,0,1
New Mexico,2016,Gasoline,1375900,0
New Mexico,2016,Diesel,88400,0
New Mexico,2016,Unknown Fuel,37200,0
New York,2016,Electric (EV),6100,1
New York,2016,Plug-In Hybrid Electric (PHEV),12100,1
New York,2016,Hybrid Electric (HEV),166500,1
New York,2016,Biodiesel,0,1
New York,2016,Ethanol/Flex (E85),895500,1
New York,2016,Compressed Natural Gas (CNG),10200,1
New York,2016,Propane,0,1
New York,2016,Hydrogen,0,1
New York,2016,Methanol,0,1
New York,2016,Gasoline,10013300,0
New York,2016,Diesel,191300,0
New York,2016,Unknown Fuel,112600,0
North Carolina,2016,Electric (EV),2900,1
North Carolina,2016,Plug-In Hybrid Electric (PHEV),3600,1
North Carolina,2016,Hybrid Electric (HEV),107400,1
North Carolina,2016,Biodiesel,0,1
North Carolina,2016,Ethanol/Flex (E85),642800,1
North Carolina,2016,Compressed Natural Gas (CNG),26100,1
North Carolina,2016,Propane,0,1
North Carolina,2016,Hydrogen,0,1
North Carolina,2016,Methanol,0,1
North Carolina,2016,Gasoline,7095700,0
North Carolina,2016,Diesel,218900,0
North Carolina,2016,Unknown Fuel,108900,0
North Dakota,2016,Electric (EV),0,1
North Dakota,2016,Plug-In Hybrid Electric (PHEV),100,1
North Dakota,2016,Hybrid Electric (HEV),3400,1
North Dakota,2016,Biodiesel,0,1
North Dakota,2016,Ethanol/Flex (E85),118500,1
North Dakota,2016,Compressed Natural Gas (CNG),5100,1
North Dakota,2016,Propane,0,1
North Dakota,2016,Hydrogen,0,1
North Dakota,2016,Methanol,0,1
North Dakota,2016,Gasoline,566300,0
North Dakota,2016,Diesel,51900,0
North Dakota,2016,Unknown Fuel,20200,0
Ohio,2016,Electric (EV),2600,1
Ohio,2016,Plug-In Hybrid Electric (PHEV),4400,1
Ohio,2016,Hybrid Electric (HEV),91900,1
Ohio,2016,Biodiesel,0,1
Ohio,2016,Ethanol/Flex (E85),909400,1
Ohio,2016,Compressed Natural Gas (CNG),21600,1
Ohio,2016,Propane,0,1
Ohio,2016,Hydrogen,0,1
Ohio,2016,Methanol,0,1
Ohio,2016,Gasoline,8740000,0
Ohio,2016,Diesel,209700,0
Ohio,2016,Unknown Fuel,109200,0
Oklahoma,2016,Electric (EV),600,1
Oklahoma,2016,Plug-In Hybrid Electric (PHEV),700,1
Oklahoma,2016,Hybrid Electric (HEV),24800,1
Oklahoma,2016,Biodiesel,0,1
Oklahoma,2016,Ethanol/Flex (E85),599800,1
Oklahoma,2016,Compressed Natural Gas (CNG),20300,1
Oklahoma,2016,Propane,0,1
Oklahoma,2016,Hydrogen,0,1
Oklahoma,2016,Methanol,0,1
Oklahoma,2016,Gasoline,3277300,0
Oklahoma,2016,Diesel,171700,0
Oklahoma,2016,Unknown Fuel,73100,0
Oregon,2016,Electric (EV),7700,1
Oregon,2016,Plug-In Hybrid Electric (PHEV),4300,1
